year,location_code,location_name_short_en,location_id,hs_product_name_short_en,export_value,import_value
1997,FRA,France,77,Vehicles,12957521731,19071334626
1997,GBR,United Kingdom,81,Chemicals,5038721518,6374318808
1997,GBR,United Kingdom,81,Machinery,25885438651,25822199164
1997,GBR,United Kingdom,81,Vehicles,9330670846,15765092112
1997,HKG,Hong Kong,97,Agriculture,7974482637,8103618486
1997,HKG,Hong Kong,97,Chemicals,10080363334,3797423362
1997,HKG,Hong Kong,97,Electronics,12724327885,16179296545
1997,HKG,Hong Kong,97,Machinery,11620228377,16011605633
1997,HKG,Hong Kong,97,Textiles,13116527329,28342676096
1997,ITA,Italy,111,Agriculture,5884959002,4233688804
1997,ITA,Italy,111,Chemicals,3929647077,6804113578
1997,ITA,Italy,111,Machinery,6662929027,6377687994
1997,ITA,Italy,111,Textiles,8710976919,2026933681
1997,ITA,Italy,111,Vehicles,4125518472,7511435947
1997,JPN,Japan,114,Agriculture,965706856,18594061753
1997,JPN,Japan,114,Chemicals,8856412767,7875561527
1997,JPN,Japan,114,Electronics,31558912224,12800071577
1997,JPN,Japan,114,Machinery,67814090283,26562061247
1997,JPN,Japan,114,Minerals,27565065,22467446726
1997,JPN,Japan,114,Textiles,2733986853,12980527538
1997,JPN,Japan,114,Vehicles,32015684565,6917615803
1997,KOR,South Korea,121,Electronics,8043781881,6145517354
1997,KOR,South Korea,121,Machinery,6392384820,15433489551
1997,MEX,Mexico,138,Agriculture,6541067707,8080440182
1997,MEX,Mexico,138,Chemicals,2823565447,10212002415
1997,MEX,Mexico,138,Electronics,23148656525,18028160425
1997,MEX,Mexico,138,Machinery,13975301125,13115426190
1997,MEX,Mexico,138,Minerals,9005781588,2466050143
1997,MEX,Mexico,138,Textiles,9253566727,5497171760
1997,MEX,Mexico,138,Vehicles,15649825723,7941524811
1997,MYS,Malaysia,153,Electronics,16359231956,13735819368
1997,NLD,Netherlands,162,Agriculture,15657705426,11513271208
1997,NLD,Netherlands,162,Chemicals,6299273529,5960536071
1997,NLD,Netherlands,162,Machinery,10713036580,14413107741
1997,RUS,Russian Federation,186,Other,2390007552,14054988800
1997,SAU,Saudi Arabia,188,Minerals,10988430562,25059607
1997,SGP,Singapore,192,Electronics,11637639667,15894439362
1997,SGP,Singapore,192,Machinery,13400010249,6262891599
1997,TWN,Taiwan,249,Electronics,7226295314,4810057770
1997,TWN,Taiwan,249,Machinery,16713739098,14094779318
1997,USA,United States of America,231,Agriculture,41355155374,38670884758
1997,USA,United States of America,231,Chemicals,39146107775,32693121655
1997,USA,United States of America,231,Electronics,63271805531,90433971860
1997,USA,United States of America,231,Machinery,118650799275,154830151209
1997,USA,United States of America,231,Metals,10095496739,13093074793
1997,USA,United States of America,231,Minerals,6167401557,42049346307
1997,USA,United States of America,231,Other,3982564352,8425429504
1997,USA,United States of America,231,Textiles,12178360099,35050204574
1997,USA,United States of America,231,Vehicles,58117720667,111793519632
1997,VEN,Venezuela,236,Minerals,12372346635,230859025
1998,ANS,Undeclared Countries,250,Other,5930792448,5459808768
1998,AUT,Austria,15,Machinery,4246405905,6043487902
1998,BEL,Belgium,18,Agriculture,12580682996,11750391240
1998,BEL,Belgium,18,Chemicals,13853154299,10392031480
1998,BEL,Belgium,18,Vehicles,7055582942,7431919778
1998,CAN,Canada,39,Agriculture,32164856867,14955590273
1998,CAN,Canada,39,Chemicals,13931797485,18272866673
1998,CAN,Canada,39,Electronics,10095904123,18389165104
1998,CAN,Canada,39,Machinery,19293016452,36897285160
1998,CAN,Canada,39,Metals,13021463374,10213266677
1998,CAN,Canada,39,Minerals,16871198939,3403397136
1998,CAN,Canada,39,Other,10662597632,3274914816
1998,CAN,Canada,39,Textiles,7756035940,6170253935
1998,CAN,Canada,39,Vehicles,51453292960,33904105205
1998,CHE,Switzerland,41,Machinery,5657058460,5068501952
1998,CHN,China,43,Agriculture,7436039685,7399518296
1998,CHN,China,43,Chemicals,3589050868,9118129800
1998,CHN,China,43,Electronics,32964087951,21293272418
1998,CHN,China,43,Machinery,42259943137,22029828889
1998,CHN,China,43,Textiles,58061634198,15090866976
1998,DEU,Germany,61,Agriculture,17079825189,23205559206
1998,DEU,Germany,61,Chemicals,43429132442,35744370371
1998,DEU,Germany,61,Electronics,10492114355,10009061993
1998,DEU,Germany,61,Machinery,65011087546,58739377051
1998,DEU,Germany,61,Other,5459808768,5930792448
1998,DEU,Germany,61,Textiles,2064874605,8349207707
1998,DEU,Germany,61,Vehicles,57075219617,30921825354
1998,ESP,Spain,71,Vehicles,7767826426,6568706055
1998,FRA,France,77,Agriculture,14121755662,12887474531
1998,FRA,France,77,Chemicals,18410344778,20634328939
1998,FRA,France,77,Electronics,4911327311,5305678552
1998,FRA,France,77,Machinery,22858516397,34512891281
1998,FRA,France,77,Vehicles,15746271300,22969211764
1998,GBR,United Kingdom,81,Chemicals,10261440694,11883307738
1998,GBR,United Kingdom,81,Electronics,5097734682,5186435803
1998,GBR,United Kingdom,81,Machinery,33463600482,32482857730
1998,GBR,United Kingdom,81,Vehicles,9914774143,18565418303
1998,HKG,Hong Kong,97,Agriculture,7399518296,7436039685
1998,HKG,Hong Kong,97,Chemicals,9118129800,3589050868
1998,HKG,Hong Kong,97,Electronics,12491464180,15741241809
1998,HKG,Hong Kong,97,Machinery,10668642297,16340026445
1998,HKG,Hong Kong,97,Textiles,12046959926,26004352318
1998,ITA,Italy,111,Agriculture,5889264744,4614086974
1998,ITA,Italy,111,Chemicals,3948817337,7203680807
1998,ITA,Italy,111,Machinery,13568663671,11356563561
1998,ITA,Italy,111,Textiles,8349207707,2064874605
1998,ITA,Italy,111,Vehicles,4511294611,8678235267
1998,JPN,Japan,114,Agriculture,983891058,15662161314
1998,JPN,Japan,114,Chemicals,8833771257,6746843091
1998,JPN,Japan,114,Electronics,29260863300,13536967002
1998,JPN,Japan,114,Machinery,65784454847,25060120117
1998,JPN,Japan,114,Textiles,2661788322,11587174256
1998,JPN,Japan,114,Vehicles,34218374332,7462400980
1998,KOR,South Korea,121,Electronics,7962193765,5230794523
1998,MEX,Mexico,138,Agriculture,7169335216,9130428236
1998,MEX,Mexico,138,Chemicals,3056606975,11232187112
1998,MEX,Mexico,138,Electronics,26932636342,20016108703
1998,MEX,Mexico,138,Machinery,16422445725,14439023666
1998,MEX,Mexico,138,Metals,4446552140,6037877306
1998,MEX,Mexico,138,Textiles,10957508179,6731400232
1998,MEX,Mexico,138,Vehicles,18161389554,8802290343
1998,MYS,Malaysia,153,Electronics,14624090972,12382675774
1998,NLD,Netherlands,162,Agriculture,14944930040,12158946680
1998,NLD,Netherlands,162,Chemicals,5409712375,5962141255
1998,NLD,Netherlands,162,Machinery,11713266017,15238121962
1998,SGP,Singapore,192,Electronics,7933861755,6631458682
1998,SGP,Singapore,192,Machinery,12508460373,5454512197
1998,TWN,Taiwan,249,Electronics,7306176347,4505582912
1998,TWN,Taiwan,249,Machinery,16010274724,13240556728
1998,USA,United States of America,231,Agriculture,39748179823,40318083141
1998,USA,United States of America,231,Chemicals,41299888567,34362908743
1998,USA,United States of America,231,Electronics,63322683254,95166695062
1998,USA,United States of America,231,Machinery,116313635738,158876317130
1998,USA,United States of America,231,Metals,16251143983,17468015514
1998,USA,United States of America,231,Minerals,3403397136,16871198939
1998,USA,United States of America,231,Other,3274914816,10662597632
1998,USA,United States of America,231,Textiles,13283772895,39183651743
1998,USA,United States of America,231,Vehicles,61967248521,122567161357
1999,ANS,Undeclared Countries,250,Electronics,3518867839,7407832852
1999,ANS,Undeclared Countries,250,Other,5476709888,6195356672
1999,ANS,Undeclared Countries,250,Vehicles,8315781918,8259179235
1999,AUT,Austria,15,Machinery,4377486024,6279401716
1999,BEL,Belgium,18,Agriculture,12581544176,11095620448
1999,BEL,Belgium,18,Chemicals,13551973750,9536117293
1999,BEL,Belgium,18,Vehicles,6077581124,7473136705
1999,CAN,Canada,39,Agriculture,35260718831,15623005969
1999,CAN,Canada,39,Chemicals,14917780104,19923775941
1999,CAN,Canada,39,Electronics,11925326840,20384664354
1999,CAN,Canada,39,Machinery,20575295377,39104473172
1999,CAN,Canada,39,Metals,13028006797,10706173592
1999,CAN,Canada,39,Minerals,19092208847,3088109639
1999,CAN,Canada,39,Other,13127203840,3321748992
1999,CAN,Canada,39,Textiles,8482425589,6385675835
1999,CAN,Canada,39,Vehicles,62109048309,36810090206
1999,CHE,Switzerland,41,Machinery,5772681481,5130392785
1999,CHN,China,43,Agriculture,7689503188,6703295287
1999,CHN,China,43,Chemicals,3733237584,8898551457
1999,CHN,China,43,Electronics,37972054706,26608064425
1999,CHN,China,43,Machinery,47041901321,25241448665
1999,CHN,China,43,Textiles,63515370936,14446838477
1999,DEU,Germany,61,Agriculture,16227805328,23440407501
1999,DEU,Germany,61,Chemicals,42870009256,35688146381
1999,DEU,Germany,61,Electronics,5257215682,4826593672
1999,DEU,Germany,61,Machinery,63592373763,53787071869
1999,DEU,Germany,61,Other,6195356672,5476709888
1999,DEU,Germany,61,Vehicles,67516142293,34298557172
1999,ESP,Spain,71,Vehicles,12311564104,13707843495
1999,FRA,France,77,Agriculture,13315651811,12708745844
1999,FRA,France,77,Chemicals,18141967897,20312240918
1999,FRA,France,77,Machinery,22623586002,33424381790
